
/Users/michalmatynia/Desktop/NPM/2026/Gemini new Pull/geminitestapp/src/features/case-resolver/components/CaseResolverPageView.tsx
   437:9  warning  'resolvedPendingPromptApplyTargetFileId' is assigned a value but never used. Allowed unused vars must match /^_/u  @typescript-eslint/no-unused-vars
  1678:1  error    Expected indentation of 22 spaces but found 12                                                                     indent
  1679:1  error    Expected indentation of 22 spaces but found 13                                                                     indent
  1680:1  error    Expected indentation of 22 spaces but found 17                                                                     indent
  1681:1  error    Expected indentation of 22 spaces but found 6                                                                      indent
  1682:1  error    Expected indentation of 22 spaces but found 2                                                                      indent
  1683:1  error    Expected indentation of 22 spaces but found 8                                                                      indent
  1684:1  error    Expected indentation of 22 spaces but found 4                                                                      indent
  1685:1  error    Expected indentation of 22 spaces but found 0                                                                      indent
  1686:1  error    Expected indentation of 22 spaces but found 0                                                                      indent
  1687:1  error    Expected indentation of 22 spaces but found 9                                                                      indent
  1688:1  error    Expected indentation of 22 spaces but found 12                                                                     indent
  1689:1  error    Expected indentation of 22 spaces but found 21                                                                     indent
  1690:1  error    Expected indentation of 22 spaces but found 9                                                                      indent
  1691:1  error    Expected indentation of 20 spaces but found 1                                                                      indent
  1692:1  error    Expected indentation of 18 spaces but found 1                                                                      indent
  1694:1  error    Expected indentation of 14 spaces but found 6                                                                      indent
  1695:1  error    Expected indentation of 16 spaces but found 13                                                                     indent
  1696:1  error    Expected indentation of 18 spaces but found 14                                                                     indent
  1697:1  error    Expected indentation of 18 spaces but found 4                                                                      indent
  1698:1  error    Expected indentation of 18 spaces but found 17                                                                     indent
  1699:1  error    Expected indentation of 18 spaces but found 10                                                                     indent
  1700:1  error    Expected indentation of 18 spaces but found 0                                                                      indent
  1701:1  error    Expected indentation of 18 spaces but found 13                                                                     indent
  1702:1  error    Expected indentation of 18 spaces but found 17                                                                     indent
  1703:1  error    Expected indentation of 18 spaces but found 1                                                                      indent
  1704:1  error    Expected indentation of 16 spaces but found 15                                                                     indent
  1705:1  error    Expected indentation of 14 spaces but found 0                                                                      indent
  1709:1  error    Expected indentation of 18 spaces but found 8                                                                      indent
  1710:1  error    Expected indentation of 18 spaces but found 3                                                                      indent
  1711:1  error    Expected indentation of 18 spaces but found 12                                                                     indent
  1712:1  error    Expected indentation of 18 spaces but found 8                                                                      indent
  1713:1  error    Expected indentation of 18 spaces but found 2                                                                      indent
  1714:1  error    Expected indentation of 20 spaces but found 1                                                                      indent
  1715:1  error    Expected indentation of 18 spaces but found 2                                                                      indent
  1716:1  error    Expected indentation of 18 spaces but found 17                                                                     indent
  1717:1  error    Expected indentation of 16 spaces but found 4                                                                      indent
  1723:1  error    Expected indentation of 10 spaces but found 5                                                                      indent
  1727:1  error    Expected indentation of 10 spaces but found 7                                                                      indent
  1728:1  error    Expected indentation of 10 spaces but found 0                                                                      indent
  1729:1  error    Expected indentation of 10 spaces but found 0                                                                      indent
  1730:1  error    Expected indentation of 10 spaces but found 0                                                                      indent
  1731:1  error    Expected indentation of 10 spaces but found 0                                                                      indent
  1732:1  error    Expected indentation of 10 spaces but found 0                                                                      indent
  1733:1  error    Expected indentation of 10 spaces but found 0                                                                      indent
  1734:1  error    Expected indentation of 10 spaces but found 0                                                                      indent
  1735:1  error    Expected indentation of 10 spaces but found 0                                                                      indent
  1736:1  error    Expected indentation of 10 spaces but found 6                                                                      indent
  1737:1  error    Expected indentation of 10 spaces but found 8                                                                      indent
  1738:1  error    Expected indentation of 8 spaces but found 6                                                                       indent

/Users/michalmatynia/Desktop/NPM/2026/Gemini new Pull/geminitestapp/src/features/products/components/settings/validator-settings/useValidatorSettingsController.ts
  241:66  error  Unsafe assignment of an error typed value  @typescript-eslint/no-unsafe-assignment

/Users/michalmatynia/Desktop/NPM/2026/Gemini new Pull/geminitestapp/src/features/prompt-exploder/context/DocumentContext.tsx
  439:1  error  Expected indentation of 10 spaces but found 8  indent
  442:1  error  Expected indentation of 6 spaces but found 0   indent
  443:1  error  Expected indentation of 8 spaces but found 0   indent
  444:1  error  Expected indentation of 10 spaces but found 8  indent
  445:1  error  Expected indentation of 10 spaces but found 2  indent
  446:1  error  Expected indentation of 8 spaces but found 1   indent
  447:1  error  Expected indentation of 6 spaces but found 2   indent
  448:1  error  Expected indentation of 6 spaces but found 5   indent
  449:1  error  Expected indentation of 8 spaces but found 0   indent
  450:1  error  Expected indentation of 8 spaces but found 3   indent
  451:1  error  Expected indentation of 8 spaces but found 0   indent
  452:1  error  Expected indentation of 8 spaces but found 0   indent
  453:1  error  Expected indentation of 6 spaces but found 0   indent
  454:1  error  Expected indentation of 4 spaces but found 0   indent
  455:1  error  Expected indentation of 6 spaces but found 3   indent
  456:1  error  Expected indentation of 4 spaces but found 0   indent
  457:1  error  Expected indentation of 4 spaces but found 0   indent
  458:1  error  Expected indentation of 2 spaces but found 0   indent
  459:1  error  Expected indentation of 4 spaces but found 0   indent
  460:1  error  Expected indentation of 4 spaces but found 1   indent
  461:1  error  Expected indentation of 4 spaces but found 0   indent
  462:1  error  Expected indentation of 4 spaces but found 0   indent
  463:1  error  Expected indentation of 4 spaces but found 2   indent
  464:1  error  Expected indentation of 4 spaces but found 2   indent
  465:1  error  Expected indentation of 4 spaces but found 0   indent
  466:1  error  Expected indentation of 4 spaces but found 0   indent
  467:1  error  Expected indentation of 4 spaces but found 0   indent
  468:1  error  Expected indentation of 2 spaces but found 0   indent
  471:1  error  Expected indentation of 4 spaces but found 2   indent
  472:1  error  Expected indentation of 6 spaces but found 1   indent
  473:1  error  Expected indentation of 8 spaces but found 1   indent
  474:1  error  Expected indentation of 8 spaces but found 1   indent
  475:1  error  Expected indentation of 8 spaces but found 0   indent
  476:1  error  Expected indentation of 8 spaces but found 2   indent
  477:1  error  Expected indentation of 10 spaces but found 3  indent
  478:1  error  Expected indentation of 10 spaces but found 2  indent
  479:1  error  Expected indentation of 10 spaces but found 1  indent
  480:1  error  Expected indentation of 12 spaces but found 0  indent
  481:1  error  Expected indentation of 10 spaces but found 1  indent
  482:1  error  Expected indentation of 10 spaces but found 6  indent
  483:1  error  Expected indentation of 10 spaces but found 1  indent
  484:1  error  Expected indentation of 12 spaces but found 0  indent
  485:1  error  Expected indentation of 10 spaces but found 1  indent
  486:1  error  Expected indentation of 10 spaces but found 7  indent
  487:1  error  Expected indentation of 8 spaces but found 1   indent
  488:1  error  Expected indentation of 8 spaces but found 2   indent
  489:1  error  Expected indentation of 8 spaces but found 2   indent
  490:1  error  Expected indentation of 6 spaces but found 1   indent
  491:1  error  Expected indentation of 4 spaces but found 1   indent
  493:1  error  Expected indentation of 2 spaces but found 0   indent
  495:1  error  Expected indentation of 2 spaces but found 0   indent
  496:1  error  Expected indentation of 4 spaces but found 2   indent
  497:1  error  Expected indentation of 6 spaces but found 1   indent
  498:1  error  Expected indentation of 8 spaces but found 1   indent
  499:1  error  Expected indentation of 8 spaces but found 1   indent
  500:1  error  Expected indentation of 10 spaces but found 2  indent
  501:1  error  Expected indentation of 8 spaces but found 0   indent
  502:1  error  Expected indentation of 10 spaces but found 8  indent
  503:1  error  Expected indentation of 8 spaces but found 0   indent
  504:1  error  Expected indentation of 8 spaces but found 2   indent
  505:1  error  Expected indentation of 6 spaces but found 0   indent
  506:1  error  Expected indentation of 4 spaces but found 1   indent
  508:1  error  Expected indentation of 2 spaces but found 0   indent
  510:1  error  Expected indentation of 2 spaces but found 0   indent
  511:1  error  Expected indentation of 4 spaces but found 2   indent
  512:1  error  Expected indentation of 6 spaces but found 2   indent
  513:1  error  Expected indentation of 8 spaces but found 1   indent
  514:1  error  Expected indentation of 8 spaces but found 1   indent
  515:1  error  Expected indentation of 10 spaces but found 1  indent
  516:1  error  Expected indentation of 8 spaces but found 0   indent
  517:1  error  Expected indentation of 10 spaces but found 8  indent
  518:1  error  Expected indentation of 8 spaces but found 2   indent
  519:1  error  Expected indentation of 8 spaces but found 2   indent
  520:1  error  Expected indentation of 6 spaces but found 0   indent
  521:1  error  Expected indentation of 4 spaces but found 1   indent
  523:1  error  Expected indentation of 2 spaces but found 0   indent
  525:1  error  Expected indentation of 2 spaces but found 0   indent
  526:1  error  Expected indentation of 4 spaces but found 2   indent
  527:1  error  Expected indentation of 6 spaces but found 2   indent
  528:1  error  Expected indentation of 8 spaces but found 1   indent
  529:1  error  Expected indentation of 8 spaces but found 1   indent
  530:1  error  Expected indentation of 10 spaces but found 0  indent
  531:1  error  Expected indentation of 8 spaces but found 0   indent
  532:1  error  Expected indentation of 10 spaces but found 8  indent
  533:1  error  Expected indentation of 8 spaces but found 2   indent
  534:1  error  Expected indentation of 8 spaces but found 2   indent
  535:1  error  Expected indentation of 6 spaces but found 0   indent
  536:1  error  Expected indentation of 4 spaces but found 1   indent
  538:1  error  Expected indentation of 2 spaces but found 0   indent
  540:1  error  Expected indentation of 2 spaces but found 0   indent
  542:1  error  Expected indentation of 2 spaces but found 0   indent
  543:1  error  Expected indentation of 4 spaces but found 0   indent
  544:1  error  Expected indentation of 4 spaces but found 0   indent
  545:1  error  Expected indentation of 6 spaces but found 0   indent
  546:1  error  Expected indentation of 4 spaces but found 0   indent
  547:1  error  Expected indentation of 4 spaces but found 0   indent
  548:1  error  Expected indentation of 4 spaces but found 0   indent
  549:1  error  Expected indentation of 6 spaces but found 1   indent
  550:1  error  Expected indentation of 4 spaces but found 0   indent
  551:1  error  Expected indentation of 6 spaces but found 1   indent
  552:1  error  Expected indentation of 4 spaces but found 0   indent
  553:1  error  Expected indentation of 4 spaces but found 0   indent
  555:1  error  Expected indentation of 8 spaces but found 0   indent
  556:1  error  Expected indentation of 8 spaces but found 1   indent
  558:1  error  Expected indentation of 6 spaces but found 1   indent
  559:1  error  Expected indentation of 8 spaces but found 2   indent
  560:1  error  Expected indentation of 8 spaces but found 0   indent
  561:1  error  Expected indentation of 8 spaces but found 0   indent
  562:1  error  Expected indentation of 8 spaces but found 0   indent
  563:1  error  Expected indentation of 8 spaces but found 0   indent
  564:1  error  Expected indentation of 6 spaces but found 0   indent
  565:1  error  Expected indentation of 6 spaces but found 4   indent
  566:1  error  Expected indentation of 4 spaces but found 2   indent
  567:1  error  Expected indentation of 6 spaces but found 1   indent
  570:1  error  Expected indentation of 4 spaces but found 1   indent
  571:1  error  Expected indentation of 6 spaces but found 0   indent
  572:1  error  Expected indentation of 6 spaces but found 2   indent
  573:1  error  Expected indentation of 6 spaces but found 0   indent
  574:1  error  Expected indentation of 6 spaces but found 0   indent
  575:1  error  Expected indentation of 4 spaces but found 2   indent
  578:1  error  Expected indentation of 2 spaces but found 0   indent
  580:1  error  Expected indentation of 2 spaces but found 0   indent
  581:1  error  Expected indentation of 4 spaces but found 0   indent
  582:1  error  Expected indentation of 6 spaces but found 3   indent
  583:1  error  Expected indentation of 6 spaces but found 4   indent
  584:1  error  Expected indentation of 6 spaces but found 1   indent
  585:1  error  Expected indentation of 6 spaces but found 0   indent
  586:1  error  Expected indentation of 6 spaces but found 0   indent
  587:1  error  Expected indentation of 6 spaces but found 0   indent
  588:1  error  Expected indentation of 6 spaces but found 0   indent
  589:1  error  Expected indentation of 6 spaces but found 0   indent
  590:1  error  Expected indentation of 6 spaces but found 0   indent
  591:1  error  Expected indentation of 6 spaces but found 0   indent
  592:1  error  Expected indentation of 6 spaces but found 0   indent
  593:1  error  Expected indentation of 6 spaces but found 3   indent
  594:1  error  Expected indentation of 4 spaces but found 2   indent
  595:1  error  Expected indentation of 4 spaces but found 0   indent
  596:1  error  Expected indentation of 6 spaces but found 4   indent
  597:1  error  Expected indentation of 6 spaces but found 4   indent
  598:1  error  Expected indentation of 6 spaces but found 1   indent
  599:1  error  Expected indentation of 6 spaces but found 0   indent
  600:1  error  Expected indentation of 6 spaces but found 0   indent
  601:1  error  Expected indentation of 6 spaces but found 0   indent
  602:1  error  Expected indentation of 6 spaces but found 0   indent
  603:1  error  Expected indentation of 6 spaces but found 0   indent
  604:1  error  Expected indentation of 6 spaces but found 0   indent
  605:1  error  Expected indentation of 6 spaces but found 0   indent
  606:1  error  Expected indentation of 6 spaces but found 0   indent
  607:1  error  Expected indentation of 6 spaces but found 3   indent
  608:1  error  Expected indentation of 4 spaces but found 2   indent
  609:1  error  Expected indentation of 2 spaces but found 0   indent
  611:1  error  Expected indentation of 2 spaces but found 0   indent
  612:1  error  Expected indentation of 4 spaces but found 0   indent
  613:1  error  Expected indentation of 6 spaces but found 3   indent
  614:1  error  Expected indentation of 6 spaces but found 1   indent
  615:1  error  Expected indentation of 6 spaces but found 0   indent
  616:1  error  Expected indentation of 6 spaces but found 0   indent
  617:1  error  Expected indentation of 6 spaces but found 0   indent
  618:1  error  Expected indentation of 6 spaces but found 1   indent
  619:1  error  Expected indentation of 6 spaces but found 0   indent
  620:1  error  Expected indentation of 6 spaces but found 0   indent
  621:1  error  Expected indentation of 6 spaces but found 1   indent
  622:1  error  Expected indentation of 6 spaces but found 1   indent
  623:1  error  Expected indentation of 6 spaces but found 0   indent
  624:1  error  Expected indentation of 6 spaces but found 0   indent
  625:1  error  Expected indentation of 6 spaces but found 0   indent
  626:1  error  Expected indentation of 6 spaces but found 0   indent
  627:1  error  Expected indentation of 6 spaces but found 0   indent
  628:1  error  Expected indentation of 4 spaces but found 0   indent
  629:1  error  Expected indentation of 4 spaces but found 0   indent
  630:1  error  Expected indentation of 6 spaces but found 4   indent
  631:1  error  Expected indentation of 6 spaces but found 1   indent
  632:1  error  Expected indentation of 6 spaces but found 0   indent
  633:1  error  Expected indentation of 6 spaces but found 0   indent
  634:1  error  Expected indentation of 6 spaces but found 0   indent
  635:1  error  Expected indentation of 6 spaces but found 1   indent
  636:1  error  Expected indentation of 6 spaces but found 0   indent
  637:1  error  Expected indentation of 6 spaces but found 0   indent
  638:1  error  Expected indentation of 6 spaces but found 1   indent
  639:1  error  Expected indentation of 6 spaces but found 1   indent
  640:1  error  Expected indentation of 6 spaces but found 0   indent
  641:1  error  Expected indentation of 6 spaces but found 0   indent
  642:1  error  Expected indentation of 6 spaces but found 0   indent
  643:1  error  Expected indentation of 6 spaces but found 0   indent
  644:1  error  Expected indentation of 6 spaces but found 0   indent
  645:1  error  Expected indentation of 4 spaces but found 0   indent
  646:1  error  Expected indentation of 2 spaces but found 0   indent
  648:1  error  Expected indentation of 2 spaces but found 0   indent
  649:1  error  Expected indentation of 4 spaces but found 1   indent
  654:1  error  Expected indentation of 2 spaces but found 0   indent
  658:1  error  Expected indentation of 2 spaces but found 0   indent
  659:1  error  Expected indentation of 2 spaces but found 0   indent
  660:1  error  Expected indentation of 2 spaces but found 0   indent
  664:1  error  Expected indentation of 2 spaces but found 0   indent
  665:1  error  Expected indentation of 2 spaces but found 0   indent
  666:1  error  Expected indentation of 2 spaces but found 0   indent

/Users/michalmatynia/Desktop/NPM/2026/Gemini new Pull/geminitestapp/src/features/prompt-exploder/hooks/usePromptExploderState.ts
  507:1  error  Expected indentation of 10 spaces but found 8  indent
  510:1  error  Expected indentation of 6 spaces but found 0   indent
  511:1  error  Expected indentation of 8 spaces but found 0   indent
  512:1  error  Expected indentation of 10 spaces but found 8  indent
  513:1  error  Expected indentation of 10 spaces but found 2  indent
  514:1  error  Expected indentation of 8 spaces but found 1   indent
  515:1  error  Expected indentation of 6 spaces but found 2   indent
  516:1  error  Expected indentation of 6 spaces but found 5   indent
  517:1  error  Expected indentation of 8 spaces but found 0   indent
  518:1  error  Expected indentation of 8 spaces but found 3   indent
  519:1  error  Expected indentation of 8 spaces but found 0   indent
  520:1  error  Expected indentation of 8 spaces but found 0   indent
  521:1  error  Expected indentation of 6 spaces but found 0   indent
  522:1  error  Expected indentation of 4 spaces but found 0   indent
  523:1  error  Expected indentation of 6 spaces but found 3   indent
  524:1  error  Expected indentation of 4 spaces but found 0   indent
  525:1  error  Expected indentation of 4 spaces but found 0   indent
  526:1  error  Expected indentation of 2 spaces but found 0   indent
  527:1  error  Expected indentation of 4 spaces but found 0   indent
  528:1  error  Expected indentation of 4 spaces but found 0   indent
  529:1  error  Expected indentation of 4 spaces but found 1   indent
  530:1  error  Expected indentation of 4 spaces but found 0   indent
  531:1  error  Expected indentation of 4 spaces but found 0   indent
  532:1  error  Expected indentation of 4 spaces but found 2   indent
  533:1  error  Expected indentation of 4 spaces but found 2   indent
  534:1  error  Expected indentation of 4 spaces but found 0   indent
  535:1  error  Expected indentation of 4 spaces but found 0   indent
  536:1  error  Expected indentation of 2 spaces but found 0   indent
  539:1  error  Expected indentation of 4 spaces but found 0   indent
  541:1  error  Expected indentation of 4 spaces but found 1   indent
  542:1  error  Expected indentation of 4 spaces but found 1   indent
  543:1  error  Expected indentation of 4 spaces but found 0   indent
  544:1  error  Expected indentation of 4 spaces but found 0   indent
  545:1  error  Expected indentation of 4 spaces but found 0   indent
  546:1  error  Expected indentation of 4 spaces but found 0   indent
  547:1  error  Expected indentation of 4 spaces but found 1   indent
  548:1  error  Expected indentation of 4 spaces but found 0   indent
  549:1  error  Expected indentation of 4 spaces but found 0   indent
  550:1  error  Expected indentation of 4 spaces but found 0   indent
  551:1  error  Expected indentation of 4 spaces but found 0   indent
  552:1  error  Expected indentation of 4 spaces but found 0   indent
  553:1  error  Expected indentation of 4 spaces but found 0   indent
  554:1  error  Expected indentation of 4 spaces but found 0   indent
  555:1  error  Expected indentation of 4 spaces but found 0   indent
  556:1  error  Expected indentation of 4 spaces but found 0   indent
  557:1  error  Expected indentation of 4 spaces but found 0   indent
  558:1  error  Expected indentation of 4 spaces but found 0   indent
  559:1  error  Expected indentation of 4 spaces but found 0   indent
  560:1  error  Expected indentation of 4 spaces but found 0   indent
  561:1  error  Expected indentation of 4 spaces but found 0   indent
  562:1  error  Expected indentation of 4 spaces but found 1   indent
  563:1  error  Expected indentation of 4 spaces but found 0   indent
  564:1  error  Expected indentation of 4 spaces but found 1   indent
  565:1  error  Expected indentation of 4 spaces but found 0   indent
  566:1  error  Expected indentation of 4 spaces but found 2   indent
  567:1  error  Expected indentation of 4 spaces but found 2   indent
  568:1  error  Expected indentation of 4 spaces but found 1   indent
  569:1  error  Expected indentation of 4 spaces but found 0   indent
  570:1  error  Expected indentation of 4 spaces but found 0   indent
  571:1  error  Expected indentation of 4 spaces but found 0   indent
  572:1  error  Expected indentation of 4 spaces but found 0   indent
  573:1  error  Expected indentation of 4 spaces but found 1   indent
  574:1  error  Expected indentation of 4 spaces but found 0   indent
  575:1  error  Expected indentation of 4 spaces but found 2   indent
  576:1  error  Expected indentation of 4 spaces but found 0   indent
  577:1  error  Expected indentation of 4 spaces but found 0   indent
  578:1  error  Expected indentation of 4 spaces but found 0   indent
  579:1  error  Expected indentation of 4 spaces but found 0   indent
  580:1  error  Expected indentation of 4 spaces but found 0   indent
  581:1  error  Expected indentation of 4 spaces but found 0   indent
  582:1  error  Expected indentation of 4 spaces but found 0   indent
  583:1  error  Expected indentation of 4 spaces but found 0   indent
  584:1  error  Expected indentation of 4 spaces but found 0   indent
  585:1  error  Expected indentation of 4 spaces but found 0   indent
  586:1  error  Expected indentation of 4 spaces but found 0   indent
  587:1  error  Expected indentation of 4 spaces but found 0   indent
  588:1  error  Expected indentation of 4 spaces but found 0   indent

✖ 380 problems (379 errors, 1 warning)
  378 errors and 0 warnings potentially fixable with the `--fix` option.

